Designator,Mid X,Mid Y,Rotation,Layer
C1,127.0,-81.28,270.0,top
C2,131.572,-78.74,270.0,top
C3,126.572,-93.98,0.0,top
C4,144.432,-93.98,0.0,top
C5,162.212,-93.98,0.0,top
C6,126.572,-108.712,0.0,top
C7,144.352,-108.712,0.0,top
C8,162.212,-108.712,0.0,top
D1,134.62,-71.12,180.0,top
D2,144.78,-74.192,270.0,top
J1,121.92,-76.2,0.0,top
J2,172.187,-79.99,180.0,top
K1,149.86,-77.12,90.0,top
NTC1,126.846,-97.511,90.0,top
NTC2,144.392,-97.536,90.0,top
NTC3,162.212,-97.536,90.0,top
NTC4,126.572,-112.268,90.0,top
NTC5,144.352,-112.268,90.0,top
NTC6,162.212,-112.268,90.0,top
Q1,144.78,-71.12,90.0,top
R1,127.0,-76.2,270.0,top
R10,139.78,-90.932,0.0,top
R11,157.56,-93.98,0.0,top
R12,169.832,-93.98,0.0,top
R13,157.64,-90.932,0.0,top
R14,121.92,-108.712,0.0,top
R15,134.192,-108.712,0.0,top
R16,121.92,-105.664,0.0,top
R17,139.7,-108.712,0.0,top
R18,151.972,-108.712,0.0,top
R19,139.7,-105.664,0.0,top
R2,121.84,-93.98,0.0,top
R20,157.56,-108.712,0.0,top
R21,169.832,-108.712,0.0,top
R22,157.56,-105.664,0.0,top
R3,134.192,-93.98,0.0,top
R4,121.84,-90.932,0.0,top
R5,121.92,-68.58,270.0,top
R6,126.492,-71.12,0.0,top
R7,139.192,-71.12,90.0,top
R8,139.78,-93.98,0.0,top
R9,152.012,-93.98,0.0,top
U1,137.668,-78.74,90.0,top
U2,137.668,-85.344,90.0,top
U3,131.652,-90.932,90.0,top
U4,149.472,-90.932,90.0,top
U5,167.292,-90.932,90.0,top
U6,131.652,-105.664,90.0,top
U7,149.432,-105.664,90.0,top
U8,167.292,-105.664,90.0,top
